Id,Name,CreatedDate,IsDeleted,LastModifiedDate,AQB__Gift__c,AQB__Account__c,AQB__Amount__c,AQB__Balance__c,AQB__Batch__c,AQB__ConditionalPledge__c,AQB__Date__c,AQB__Method__c,AQB__PledgeStipulation__c,AQB__PledgePayment__c,AQB__Type__c
a2EVa00000006y1MAA,014027235,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDA4IAO,001Va000002eduQIAQ,35,0,,false,1995-03-22,Check,,false,Payment
a2EVa00000006y2MAA,014027236,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDA5IAO,001Va000002eduQIAQ,25,0,,false,1994-05-17,Check,,false,Payment
a2EVa00000006y3MAA,014027237,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDA6IAO,001Va000002eduQIAQ,100,0,,false,1990-05-31,Check,,false,Payment
a2EVa00000006y4MAA,014027238,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDA8IAO,001Va000002eduRIAQ,20,0,,false,1999-12-09,Check,,false,Payment
a2EVa00000006y5MAA,014027239,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDA9IAO,001Va000002eduRIAQ,20,0,,false,1999-02-19,Check,,false,Payment
a2EVa00000006y6MAA,014027240,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAAIA4,001Va000002eduRIAQ,10,0,,false,1995-04-05,Check,,false,Payment
a2EVa00000006y7MAA,014027241,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDABIA4,001Va000002eduRIAQ,10,0,,false,1994-10-18,Check,,false,Payment
a2EVa00000006y8MAA,014027242,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDACIA4,001Va000002eduRIAQ,10,0,,false,1994-05-03,Check,,false,Payment
a2EVa00000006y9MAA,014027243,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDADIA4,001Va000002eduRIAQ,10,0,,false,1993-11-04,Check,,false,Payment
a2EVa00000006yAMAQ,014027244,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAEIA4,001Va000002eduRIAQ,10,0,,false,1993-05-04,Check,,false,Payment
a2EVa00000006yBMAQ,014027245,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAFIA4,001Va000002eduRIAQ,50,0,,false,1990-07-15,Check,,false,Payment
a2EVa00000006yCMAQ,014027246,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAGIA4,001Va000002eduSIAQ,20,0,,false,1994-06-06,Check,,false,Payment
a2EVa00000006yDMAQ,014027247,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAHIA4,001Va000002eduSIAQ,25,0,,false,1990-12-19,Check,,false,Payment
a2EVa00000006yEMAQ,014027248,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAeIAO,001Va000002eduWIAQ,50,0,,false,2002-07-31,Check,,false,Payment
a2EVa00000006yFMAQ,014027249,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAfIAO,001Va000002eduWIAQ,50,0,,false,2002-04-30,Check,,false,Payment
a2EVa00000006yGMAQ,014027250,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAgIAO,001Va000002eduWIAQ,50,0,,false,2001-12-26,Check,,false,Payment
a2EVa00000006yHMAQ,014027251,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAhIAO,001Va000002eduWIAQ,50,0,,false,2001-07-31,Check,,false,Payment
a2EVa00000006yIMAQ,014027252,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAiIAO,001Va000002eduWIAQ,50,0,,false,2001-05-01,Check,,false,Payment
a2EVa00000006yJMAQ,014027253,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAjIAO,001Va000002eduWIAQ,50,0,,false,2001-01-16,Check,,false,Payment
a2EVa00000006yKMAQ,014027254,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAkIAO,001Va000002eduWIAQ,50,0,,false,2000-10-30,Check,,false,Payment
a2EVa00000006yLMAQ,014027255,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAlIAO,001Va000002eduWIAQ,50,0,,false,2000-04-28,Check,,false,Payment
a2EVa00000006yMMAQ,014027256,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAmIAO,001Va000002eduWIAQ,50,0,,false,1999-03-30,Check,,false,Payment
a2EVa00000006yNMAQ,014027257,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAnIAO,001Va000002eduWIAQ,50,0,,false,1998-04-27,Check,,false,Payment
a2EVa00000006yOMAQ,014027258,2024-01-20T02:56:10.000+0000,false,2024-07-16T13:02:45.000+0000,a16Va000000JDAoIAO,001Va000002eduWIAQ,50,0,,false,1997-09-03,Check,,false,Payment
